"Failed to create datastores from private volumes: '10.144.12.27 doesn not have private volume
New-Datastore : Cannot validate argument on parameter 'Path'. The argument is null or empty. Provide an argument that 
is not null or empty, and then try the command again.
At C:\Jenkins\workspace\release-tests\sat-synergy-gen2\tests\cosmos\SAT2_GEN1\psscripts\CreatePrivateDatastore.ps1:34 
char:56
+     New-Datastore -vmhost $server -Name $ds_name -Path $ln -Vmfs -Fil ...
+                                                        ~~~
    + CategoryInfo          : InvalidData: (:) [New-Datastore], ParameterBindingValidationException
    + FullyQualifiedErrorId : ParameterArgumentValidationError,VMware.VimAutomation.ViCore.Cmdlets.Commands.Host.NewDa 
   tastore
 
success' does not match 'success'",environment issue
There were 3 failing tasks.,environment issue
"1) There were 10 failing tasks.

2) 'Dictionary does not contain key 'details'.' != 'The requested resource could not be found.'",environment issue
"Failed to complete task, error = (vim.fault.InvalidPowerState) {
   dynamicType = <unset>,
   dynamicProperty = (vmodl.DynamicProperty) [],
   msg = 'The attempted operation cannot be performed in the current state (Powered off).',
   faultCause = <unset>,
   faultMessage = (vmodl.LocalizableMessage) [],
   requestedState = 'poweredOn',
   existingState = 'poweredOff'
}",environment issue
taskState not found in last GET on task uri: /rest/tasks/ad0f40b1-d59e-4b21-9289-3e2e27e28001,automation issue
"ManagedObjectNotFound: (vmodl.fault.ManagedObjectNotFound) {
   dynamicType = <unset>,
   dynamicProperty = (vmodl.DynamicProperty) [],
   msg = ""The object 'vim.Datastore:datastore-6271' has already been deleted or has not been completely created"",
   faultCause = <unset>,
   faultMessage = (vmodl.LocalizableMessage) [],
   obj = 'vim.Datastore:datastore-6271'
}",environment issue
Error in email message removal operation. Exception: -ERR Message corrupted,environment issue
Variable '${type}' not found.,automation issue
There were 1 failing tasks.,environment issue
"actMessage not matching expected error message.
Task Message:Some parameters were invalid in the request. 
RecommendedActions:[u'Correct the invalid parameters and retry the request.'] 
errorCode:INVALID_REQUEST_PARAMETERS ",product issue
Profile name [Server_profile_edit] Expected status OK but found Critical,environment issue
Cloning to VMs failed,environment issue
Resolving variable '${server['uri']}' failed: KeyError: 'uri',automation issue
Keyword 'Appliance is pingable' failed after retrying for 1 minute,automation issue
"('Exception occurred while attempting to POST: https://16.114.212.143/rest/appliance/support-dumps', ProxyError(MaxRetryError('HTTPSConnectionPool(host=\'16.114.212.143\', port=443): Max retries exceeded with url: /rest/appliance/support-dumps (Caused by ProxyError(\'Cannot connect to proxy.\', error(""(10054, \'WSAECONNRESET\')"",)))',),))",product issue
Task Error but no expected error was specified.,environment issue
"No match found for 'root' in 35 seconds
Output:
.",environment issue
"1) False != True

2) False != True

3) False != True

4) False != True

5) False != True

6) False != True

7) False != True

8) False != True

9) False != True

10) False != True

11) False != True",automation issue
"1) 400 != 202

2) actMessage not matching expected error message.
Task Message:Another logical interconnect group with that name already exists: ConcurrentPotash 
RecommendedActions:[u'Retry the last operation with a unique and valid logical interconnect group name.'] 
errorCode:CRM_DUPLICATE_LOGICAL_SWITCH_TEMPLATE_NAME ",environment issue
TypeError: argument of type 'bool' is not iterable,automation issue
/rest/storage_volume_uri_vol11_not_found,environment issue
"Server name [Enclosure1, bay 5] Expected Status 'OK' but found Warning",environment issue
Appliance Critical alerts: 10: 10 != 0,environment issue
"(u'Exception occurred while attempting to POST FILE: https://172.24.1.101/rest/firmware-bundles', ConnectionError(ProtocolError('Connection aborted.', error(""(32, 'EPIPE')"",)),))",environment issue
1) Adding Active Directory AD Failed 2) Failed to get domain id for Active Directory AD,environment issue
KuiilPotash_extRepo query in OneView returned unexpected members.,automation issue
Maximum limit of started keywords exceeded.,automation issue
Critical failure occurred and exit-on-failure mode is in use.,environment issue
Keyword 'IC reached state' failed after retrying for 1 hour.,automation issue
"(u'Exception occurred while attempting to DELETE: https://16.114.217.100/rest/login-sessions', ConnectionError(MaxRetryError(""HTTPSConnectionPool(host='16.114.217.100', port=443)",environment issue
AttributeError: 'FusionLibrary' object has no attribute 'fusion_api_appliance_version',automation issue
Server Profiles has uncleared alerts,product issue
"1) Maximum limit of started keywords exceeded.

2) Maximum limit of started keywords exceeded.

3) Maximum limit of started keywords exceeded.

4) Maximum limit of started keywords exceeded.

5) Maximum limit of started keywords exceeded.

6) Maximum limit of started keywords exceeded.

7) Maximum limit of started keywords exceeded.",automation issue
Critical failure occurred and exit-on-failure mode is in use.,environment issue
There are errors create profile or verify resources.,environment issue
"Failed to complete task, error = (vim.fault.CannotAccessVmConfig) {",environment issue
1' should not be true.,environment issue
Variable '${deploy_vsphere}' not found.,automation issue
Failed to deploy OVA: 'ExecutionFailed' object has no attribute 'fp',automation issue
Execution terminated by signal,environment issue
